"Plot","Severity","ARLU","CARO","CEFE","CHAL","COAN","ELEL","FEAR","HEMU","HOWR","LIDA","LOWR","MUMO","MUVI","PIPR","PSMA","QUGA","SATR","SCSC","VETH"
1,"U",0,1,0,0,0.5,0,0,0,0,0,0,0,0,22,0,0,0,0,0
2,"U",0.2,6,1,0,0,0,0,0,0,0,0.2,2.5,0,0,0,0,0,2.5,0
3,"U",0,0,0,0,0,0.5,0,0,0,0,0,0,0,16,0,0,0,0,0
4,"U",0,4,0,0.25,0,0.2,0,0,0,0,0,0,0,2,0,0,0,0,0
5,"U",0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,4,0,0,0,0,0
6,"U",0,0,0,0,0,0.25,1,0,0.2,0,0,0,0,15,0,0,0,0,0
7,"U",0,0.2,0,0,0,0,0.5,0,0,0,0,1.5,0,9,0,0,0,0,0
8,"U",0,0,0,0,0,0,5,0,0,0,0,2,0,3,0,0,0,0.5,0
9,"U",1,3,0,0,0,0,0,0,0,0,0.5,13,0,0,0,0,0,0,0
10,"U",0,1,0,0,0,4.5,0,0,0,0.2,0,0.5,0,0,0,0.2,0,0,0
11,"U",0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
12,"U",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
13,"U",0,0,0,0,0,0.5,0,0,0,0,0,0,0,30,0,0,0,0,0
14,"U",0.2,0,0,0.2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,1
15,"U",0,0.5,0,0,0,1,0,0,0,0,0,12,0,5,0,0,0,0,0
16,"U",0,0,0,0,0,0.75,0,0,0,0,0.2,0,0,7,0,1,0,0,0
17,"U",0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,5,0
18,"U",0,0,0,0.2,0,0,0,0.25,0,0,0,7,0,0,0,0,0,7,0
19,"U",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0
20,"U",0,4,0,0,0,0,0,0,0.5,0,0,0,0,24,0,0,0,0,0.25
21,"L",0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"L",0,0,0,0,0,0.5,2,0,0,0,0,7,8,0,0,1.5,0,0,0
23,"L",1.5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
24,"L",0,0,0,0,0.25,0.5,1,0,0.2,0,0,1,0,2,0,0,0,0,0
25,"L",0,1,0,0,0,0,4,0,0,0,0,1.5,0,16,0,3,0,0,0
26,"L",0.2,1,0,0,0.2,0,0,0,0.2,0,0,2,0.5,0.25,0,0,0,0,0
27,"L",0,8,0,0,0.2,0,0.2,0,0.25,0,0,5,13,0,0,3,0,0,0
28,"L",0,0,12,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0
29,"L",0,0,0,0.2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
30,"L",0,0,0,0.2,0,0,0,0,0,0,0.5,0,16,2,0,0,0,0,0
31,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
32,"L",0,3,0,0.25,0,0,0,20,0,0,0,0,4,10,0,0,0,0,0.5
33,"L",0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,11
34,"L",0,4,0,2,0,0,0,0,0,0,0,0,11,0,0,0,6,0,2
35,"L",0,0,0,0,0.5,0,0,0,0,0,3,8,0,1,0,0,0,5,0
36,"L",0,0,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
37,"L",0,0,0,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
38,"L",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0.25,0,0,0,0
41,"H",0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,10,0,4
42,"H",0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,12,0,0,1
44,"H",0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,0,0,20
45,"H",0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,13
46,"H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
47,"H",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0
48,"H",0,0,0,0.2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10
49,"H",0,0,0,0,0,7,3,0,0,0.5,2,0,0,0,0,1,0,0,12
50,"H",0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1
51,"H",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,29
52,"H",0,0,0,0,0,2,0,0,0,1,12,0,0,0,1,0,0,0,15
53,"H",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,17
54,"H",0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,10
55,"H",0,0,12,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,0
56,"H",0,0,0,0,0,0,0,0,0,0,0.25,0,9,0,5,0,0,0,27
57,"H",0,0,17,0.2,0,5,0,0,0,0,0,0,6,0,3,0,0,0,0
58,"H",0,0,0,0,0,10,9,0,0,0,0,0,12,0,0,0,0,0,0
59,"H",0,0,22,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,11
60,"H",0,0,0,1,0,1,4,0,0,0,0.25,0,21,0,0,0,1,0,0
